dept_no	dept_no
10017 d001
10055 d001
10058 d001
10108 d001
10140 d001
10175 d001
10208 d001
10228 d001
10239 d001
10259 d001
10042 d002
10050 d002
10059 d002
10080 d002
10132 d002
10144 d002
10146 d002
10147 d002
10165 d002
10173 d002
10005 d003
10013 d003
10036 d003
10039 d003
10054 d003
10071 d003
10077 d003
10080 d003
10086 d003
10100 d003
10003 d004
10004 d004
10010 d004
10018 d004
10020 d004
10024 d004
10026 d004
10029 d004
10030 d004
10032 d004
10001 d005
10006 d005
10008 d005
10012 d005
10014 d005
10018 d005
10021 d005
10022 d005
10023 d005
10025 d005
